spf_result,dkim_result,dmarc_result,dmarc_policy,compauth,lev_from_returnpath,lev_returnpath_helo,lev_helo_messageid,dkim_signature_present,reply_to_present,hop_count,total_delay_log,asn_in_nerd,asn_avg_rep,ptr_exists,ptr_matches_helo,helo_domain_resolves,from_domain_has_mx
2,2,2,1,2,0.2941,1,1,1,1,4,1.386294,1,0.748465,1,1,1,1
2,2,2,1,2,0.2941,1,1,1,1,4,1.791759,1,0.748465,1,1,1,1
2,2,2,1,2,1,0.4615,0.4615,1,0,4,1.098612,1,0.578171,1,1,1,1
2,2,2,1,2,0.1176,1,1,1,1,4,2.397895,0,,1,1,1,1
2,2,2,1,2,0.2941,1,1,1,1,4,1.386294,1,0.748465,1,1,1,1
2,2,2,1,2,1,0.4615,0.4615,1,0,7,1.609438,1,0.578171,0,0,1,1
2,2,2,1,2,0.2941,1,1,1,1,4,1.386294,1,0.748465,1,1,1,1
2,2,2,1,2,0.1176,1,1,1,1,5,3.555348,0,,1,1,1,1
2,2,2,1,2,0.2941,1,1,1,1,4,1.609438,1,0.748465,1,1,1,1
2,2,2,1,2,0.1176,1,1,1,1,5,5.743003,0,,1,1,1,1
2,2,2,1,2,1,0.3077,0.3077,1,0,5,4.276666,1,0.578171,1,0,1,1
2,2,2,1,2,0.1176,1,1,1,1,4,5.572154,0,,1,1,1,1
2,2,2,1,2,0.2941,1,1,1,1,5,2.197225,1,0.748465,1,1,1,1
2,2,2,1,2,0.1176,1,1,1,1,4,4.394449,0,,1,1,1,1
2,2,2,1,2,0.2941,1,1,1,1,4,1.098612,1,0.748465,1,1,1,1
2,2,2,1,2,0.1176,1,1,1,1,5,3.295837,0,,1,1,1,1
2,2,2,1,2,1,1,,1,0,5,0.693147,1,0.140722,1,0,1,1
2,2,2,1,2,0.2941,1,1,1,1,5,1.386294,1,0.748465,1,1,1,1
2,2,2,1,2,0.1176,1,1,1,1,4,2.70805,0,,1,1,1,1
2,2,2,1,2,0.2941,1,1,1,1,5,2.397895,1,0.748465,1,1,1,1
2,2,2,1,2,0.1176,1,1,1,1,5,5.594711,0,,1,1,1,1
2,2,2,1,2,1,0.4615,0.4615,1,0,7,2.197225,1,0.578171,0,0,1,1
2,2,2,1,2,1,0.4615,0.4615,1,0,7,2.397895,1,0.578171,0,0,1,1
2,2,2,1,2,0.2941,1,1,1,1,4,1.098612,1,0.748465,1,1,1,1
2,2,2,1,2,1,0.4615,0.4615,1,0,7,2.079442,1,0.578171,0,0,1,1
2,2,2,1,2,0.1176,1,1,1,1,5,2.995732,0,,1,1,1,1
2,2,2,1,2,1,1,,1,0,5,0,1,0.140722,1,1,1,1
2,2,2,1,2,0.1176,1,1,1,1,5,6.911747,0,,1,1,1,1
2,2,2,1,2,0.2941,1,1,1,1,4,1.609438,1,0.748465,1,1,1,1
2,2,2,1,2,0.2941,1,1,1,1,4,1.386294,1,0.748465,1,1,1,1
2,2,2,1,2,0.2941,1,1,1,1,4,0.693147,1,0.748465,1,1,1,1
2,2,2,1,2,0.2941,1,1,1,1,5,1.94591,1,0.748465,1,1,1,1
2,2,2,1,2,1,0.4615,0.4615,1,0,4,1.098612,1,0.578171,0,0,1,1
2,2,2,1,2,1,1,0.1429,1,0,5,0.693147,1,0.140722,1,0,1,1
2,2,2,1,2,0.1176,1,1,1,1,4,4.406719,0,,1,1,1,1
2,2,2,1,2,0.2941,1,1,1,1,5,3.583519,1,0.748465,1,1,1,1
2,2,2,1,2,1,0.4615,0.4615,1,0,7,2.302585,1,0.578171,0,0,1,1
2,2,2,1,2,0.2941,1,1,1,1,4,1.609438,1,0.748465,1,1,1,1
2,2,2,1,2,0.1176,1,1,1,1,4,6.481577,0,,1,1,1,1
2,2,2,1,2,0.1176,1,1,1,1,4,5.365976,0,,1,1,1,1
2,2,2,1,2,0.1176,1,1,1,1,4,3.912023,0,,1,1,1,1
2,2,2,1,2,0.2941,1,1,1,1,5,1.94591,1,0.748465,1,1,1,1
2,2,2,1,2,0.1176,1,1,1,1,5,5.225747,0,,1,1,1,1
2,2,2,1,2,1,1,0.1429,1,0,5,1.098612,1,0.140722,1,0,1,1
2,2,2,1,2,0.1176,1,1,1,1,5,3.828641,0,,1,1,1,1
2,2,2,1,2,0.1176,1,1,1,1,5,4.584967,0,,1,1,1,1
2,2,2,1,2,1,0.3077,0.3077,1,0,5,1.609438,1,0.578171,1,0,1,1
2,2,2,1,2,0.2941,1,1,1,1,5,2.564949,1,0.748465,1,1,1,1
2,2,2,1,2,0.2941,1,1,1,1,4,1.098612,1,0.748465,1,1,1,1
2,2,2,1,2,0.1176,1,1,1,1,4,3.367296,0,,1,1,1,1
2,2,2,1,2,0.2941,1,1,1,1,4,0.693147,1,0.748465,1,1,1,1
2,2,2,1,2,0.2941,1,1,1,1,4,1.386294,1,0.748465,1,1,1,1
2,2,2,1,2,0.2941,1,1,1,1,5,2.079442,1,0.748465,1,1,1,1
2,2,2,1,2,1,0.3077,0.3077,1,0,5,1.791759,1,0.578171,1,0,1,1
2,2,2,1,2,1,1,,1,0,6,1.098612,1,0.140722,1,1,1,1
2,2,2,1,2,0.1176,1,1,1,1,5,3.806662,0,,1,1,1,1
2,2,2,1,2,0.1176,1,1,1,1,4,2.564949,0,,1,1,1,1
2,2,2,1,2,1,0.4615,0.4615,1,0,3,1.098612,1,0.578171,1,1,1,1
2,2,2,1,2,0.1176,1,1,1,1,4,5.241747,0,,1,1,1,1
2,2,2,1,2,1,1,0.1429,1,0,5,1.098612,1,0.140722,1,1,1,1
2,2,2,1,2,0.2941,1,1,1,1,4,1.386294,1,0.748465,1,1,1,1
2,2,2,1,2,1,1,0.25,1,0,6,1.386294,1,0.140722,1,0,1,1
2,2,2,1,2,0.1176,1,1,1,1,5,3.828641,0,,1,1,1,1
2,2,2,1,2,1,0.4615,0.1429,1,0,3,0.693147,1,0.578171,1,1,1,1
2,2,2,1,2,0.1176,1,1,1,1,5,7.234177,0,,1,1,1,1
2,2,2,1,2,0.2941,1,1,1,1,4,1.609438,1,0.748465,1,1,1,1
2,2,2,1,2,1,0.4615,0.4615,1,0,4,1.386294,1,0.578171,1,1,1,1
2,2,2,1,2,0.2941,1,1,1,1,5,1.609438,1,0.748465,1,1,1,1
2,2,2,1,2,1,0.4615,0.4615,1,0,7,2.890372,1,0.578171,0,0,1,1
2,2,2,1,2,0.2941,1,1,1,1,4,1.609438,1,0.748465,1,1,1,1
2,2,2,1,2,1,1,0.25,1,0,5,0.693147,1,0.140722,1,0,1,1
2,2,2,1,2,0.2941,1,1,1,1,5,2.564949,1,0.748465,1,1,1,1
2,2,2,1,2,0.2941,1,1,1,1,5,1.609438,1,0.748465,1,1,1,1
2,2,2,1,2,0.1176,1,1,1,1,4,3.931826,0,,1,1,1,1
2,2,2,1,2,1,0.4615,0.4615,1,0,7,2.397895,1,0.578171,0,0,1,1
2,2,2,1,2,0.1176,1,1,1,1,5,5.192957,0,,1,1,1,1
2,2,2,1,2,0.2941,1,1,1,1,5,1.609438,1,0.748465,1,1,1,1
2,2,2,1,2,0.2941,1,1,1,1,4,1.609438,1,0.748465,1,1,1,1
2,2,2,1,2,0.2941,1,1,1,1,5,1.94591,1,0.748465,1,1,1,1
2,2,2,1,2,0.2941,1,1,1,1,4,1.791759,1,0.748465,1,1,1,1
2,0,2,1,2,1,1,0.1538,1,1,4,4.890349,1,0.106069,1,1,1,1
2,2,2,1,2,0.1176,1,1,1,1,5,3.295837,0,,1,1,1,1
2,2,2,1,2,0.2941,1,1,1,1,4,1.609438,1,0.748465,1,1,1,1
2,2,2,1,2,0.2941,1,1,1,1,4,1.94591,1,0.748465,1,1,1,1
2,2,2,1,2,1,0.4615,0.4615,1,0,7,2.197225,1,0.578171,0,0,1,1
2,2,2,1,2,0.1176,1,1,1,1,5,4.51086,0,,1,1,1,1
2,2,2,1,2,0.2941,1,1,1,1,4,1.386294,1,0.748465,1,1,1,1
2,2,2,1,2,0.1176,1,1,1,1,5,3.332205,0,,1,1,1,1
2,2,2,1,2,0.1176,1,1,1,1,5,3.970292,0,,1,1,1,1
2,2,2,1,2,1,1,0.25,1,0,6,0.693147,1,0.140722,1,1,1,1
2,2,2,1,2,1,0.4615,0.4615,1,0,7,2.484907,1,0.578171,0,0,1,1
2,2,2,1,2,0.2941,1,1,1,1,4,1.386294,1,0.748465,1,1,1,1
2,2,2,1,2,0.1176,1,1,1,1,4,1.609438,0,,1,1,1,1
2,2,2,1,2,0.1176,1,1,1,1,5,5.587249,0,,1,1,1,1
2,2,2,1,2,0.2941,1,1,1,1,4,1.386294,1,0.748465,1,1,1,1
2,2,2,1,2,0.1176,1,1,1,1,5,4.89784,0,,1,1,1,1
2,2,2,1,2,0.2941,1,1,1,1,4,1.098612,1,0.748465,1,1,1,1
2,2,2,1,2,1,1,,1,0,6,1.386294,1,0.140722,1,1,1,1
2,2,2,1,2,0.2941,1,1,1,1,4,1.609438,1,0.748465,1,1,1,1
2,2,2,1,2,1,0.4615,0.4615,1,0,7,2.397895,1,0.578171,0,0,1,1
2,2,2,1,2,1,0.4615,0.4615,1,0,3,0.693147,1,0.578171,1,1,1,1
2,2,2,1,1,1,0.3333,0.1905,1,0,5,0.693147,1,0.748465,1,1,1,1
2,2,2,1,2,0.2941,1,1,1,1,4,1.386294,1,0.748465,1,1,1,1
2,2,2,1,2,1,0.3077,0.3077,1,0,5,1.609438,1,0.578171,1,0,1,1
2,2,2,1,2,0.1176,1,1,1,1,4,3.583519,0,,1,1,1,1
2,2,2,1,2,1,1,0.25,1,0,6,1.098612,1,0.140722,1,1,1,1
2,2,2,1,2,1,0.4615,0.4615,1,0,7,1.94591,1,0.578171,0,0,1,1
2,2,2,1,2,1,0.4615,0.4615,1,0,7,2.302585,1,0.578171,0,0,1,1
2,2,2,1,2,1,1,,1,0,6,1.098612,1,0.140722,1,1,1,1
2,2,2,1,2,0.2941,1,1,1,1,4,1.386294,1,0.748465,1,1,1,1
2,2,2,1,2,0.1176,1,1,1,1,5,4.204693,0,,1,1,1,1
2,2,2,1,2,0.1176,1,1,1,1,4,1.609438,0,,1,1,1,1
2,2,2,1,2,0.1176,1,1,1,1,5,3.332205,0,,1,1,1,1
2,2,2,1,2,1,0.3077,0.3077,1,0,5,1.94591,1,0.578171,1,0,1,1
2,2,2,1,2,0.2941,1,1,1,1,4,1.098612,1,0.748465,1,1,1,1
2,2,2,1,2,0.2941,1,1,1,1,5,2.564949,1,0.748465,1,1,1,1
2,2,2,1,2,0.1176,1,1,1,1,5,4.969813,0,,1,1,1,1
2,2,2,1,2,0.1176,1,1,1,1,5,4.564348,0,,1,1,1,1
2,2,2,1,2,1,0.3077,0.3077,1,0,5,1.94591,1,0.578171,1,0,1,1
2,2,2,1,2,0.1176,1,1,1,1,4,3.258097,0,,1,1,1,1
2,2,2,1,2,0.2941,1,1,1,1,4,3.295837,1,0.748465,1,1,1,1
2,2,2,1,2,0.1176,1,1,1,1,5,2.833213,0,,1,1,1,1
2,2,2,1,2,1,0.4615,0.4615,1,0,7,1.609438,1,0.578171,0,0,1,1
2,2,2,1,2,1,0.4615,0.4615,1,0,7,2.397895,1,0.578171,0,0,1,1
2,2,2,1,2,1,0.4615,0.4615,1,0,7,1.791759,1,0.578171,0,0,1,1
2,2,2,1,2,0.2941,1,1,1,1,4,1.386294,1,0.748465,1,1,1,1
2,2,2,1,2,0.1176,1,1,1,1,4,5.068904,0,,1,1,1,1
2,2,2,1,2,0.1176,1,1,1,1,5,5.003946,0,,1,1,1,1
2,2,2,1,2,0.2941,1,1,1,1,5,1.098612,1,0.748465,1,1,1,1
2,2,2,1,2,1,0.4615,0.4615,1,0,4,1.098612,1,0.578171,1,1,1,1
2,2,2,1,2,1,0.4615,0.4615,1,0,7,2.564949,1,0.578171,0,0,1,1
2,2,2,1,2,0.1176,1,1,1,1,4,2.484907,0,,1,1,1,1
2,2,2,1,2,1,0.4615,0.4615,1,0,7,2.397895,1,0.578171,0,0,1,1
2,2,2,1,2,1,0.3077,0.3077,1,0,5,2.397895,1,0.578171,1,0,1,1
2,2,2,1,2,1,1,,1,0,6,0.693147,1,0.140722,1,0,1,1
2,2,2,1,2,1,1,0.25,1,0,5,0.693147,1,0.140722,1,0,1,1
2,2,2,1,2,0.1176,1,1,1,1,5,2.302585,0,,1,1,1,1
2,2,2,1,2,0.1176,1,1,1,1,5,4.564348,0,,1,1,1,1
2,2,2,1,2,1,0.4615,0.4615,1,0,7,1.94591,1,0.578171,0,0,1,1
2,2,2,1,2,0.2941,1,1,1,1,5,1.791759,1,0.748465,1,1,1,1
2,2,2,1,2,1,0.4615,0.4615,1,0,7,1.791759,1,0.578171,0,0,1,1
2,2,2,1,2,0.1176,1,1,1,1,5,6.49224,0,,1,1,1,1
2,2,2,1,2,0.1176,1,1,1,1,5,3.828641,0,,1,1,1,1
2,2,2,1,2,0.2941,1,1,1,1,5,1.386294,1,0.748465,1,1,1,1
2,2,2,1,2,0.2941,1,1,1,1,4,1.609438,1,0.748465,1,1,1,1
2,2,2,1,2,0.1176,1,1,1,1,5,2.995732,0,,1,1,1,1
2,2,2,1,2,0.2941,1,1,1,1,4,1.098612,1,0.748465,1,1,1,1
2,2,2,1,2,1,1,0.1429,1,0,5,0.693147,1,0.140722,1,1,1,1
2,2,2,1,2,0.1176,1,1,1,1,5,4.997212,0,,1,1,1,1
