lev_from_returnpath,lev_returnpath_helo,lev_helo_messageid,dkim_signature_present,reply_to_present,hop_count,total_delay_log,asn_in_nerd,asn_avg_rep,ptr_exists,ptr_matches_helo,helo_domain_resolves,from_domain_has_mx,lev_display_name_alignment,display_name_missing,spamassassin_score,spamassassin_present
1,1,1,0,1,2,0,0,,0,0,1,0,0.3902,0,,0
1,1,,1,1,4,2.079442,1,0.163286,1,1,1,1,0.25,0,-1.5,1
1,1,1,1,0,4,0,1,0.167366,1,1,1,1,0.2857,0,,0
1,1,,1,1,4,2.397895,1,0.163286,1,1,1,1,0.25,0,-6.349,1
1,0.1,0.1,1,0,4,2.197225,0,,0,0,1,1,0.2857,0,-5.68,1
0.1333,0.1429,,1,1,5,6.632002,1,0.14289,1,1,1,1,0.1818,0,-2.018,1
0.1667,0.1429,0.1429,1,0,5,0.693147,1,0.14289,1,1,1,1,0.25,0,,0
1,1,1,1,0,4,3.044522,1,0.167366,1,1,1,1,0.2857,0,-5.628,1
1,1,1,1,0,4,2.197225,1,0.167366,1,1,1,1,0.2857,0,-5.628,1
1,1,1,1,0,4,1.386294,1,0.167366,1,1,1,1,0.2857,0,-1.938,1
1,0.2,0.6,0,0,3,0.693147,1,0.167366,1,1,1,0,0.6842,0,,0
1,1,1,1,1,9,3.713572,0,,1,1,1,1,0.9091,0,-0.7,1
0.2308,1,1,1,1,3,1.609438,1,0.236867,1,1,1,1,0.5,0,-4.498,1
1,1,1,0,0,3,0,0,,0,0,1,0,,1,,0
0.0909,0.1538,0.1538,1,0,4,2.564949,0,,1,1,1,1,0.3125,0,-1.989,1
1,1,,1,1,4,3.044522,1,0.163286,1,1,1,1,0.1111,0,-1.489,1
0.1667,0.1429,,1,0,5,1.609438,1,0.14289,1,1,1,1,0.25,0,-2.559,1
1,1,,0,1,4,2.564949,1,0.060881,1,1,1,1,1,0,-1.496,1
1,0.6111,0.6111,0,1,3,2.397895,0,,1,1,1,1,1,0,-1.4,1
1,1,1,0,1,2,0,1,0.162848,0,0,1,0,0.7083,0,,0
1,1,0.1333,0,0,2,0,0,,0,0,1,0,0.2222,0,,0
1,1,,1,1,4,2.639057,1,0.163286,1,1,1,1,0.25,0,-7.643,1
1,1,1,0,0,3,0,1,0.028552,0,0,1,0,,1,,0
1,1,,1,1,4,3.258097,1,0.163286,1,1,1,1,0.25,0,-1.444,1
0.1667,0.1429,0.1429,1,0,5,6.593045,1,0.14289,1,1,1,1,0.4706,0,-2.559,1
1,1,1,1,0,4,2.302585,1,0.167366,1,1,1,1,0.2857,0,-5.628,1
1,1,,1,1,4,2.944439,1,0.163286,1,1,1,1,0.25,0,-1.499,1
1,1,,1,1,4,2.397895,1,0.163286,1,1,1,1,0.1111,0,-1.499,1
